Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
210,44.641426282051285,0.0,Echo 0,1,Clique A
240,45.32251602564103,0.0,Echo 0,1,Clique A
270,45.77323717948718,0.0,Echo 0,1,Clique A
300,46.09375,0.0,Echo 0,1,Clique A
330,46.47435897435897,0.0,Echo 0,1,Clique A
360,46.764823717948715,0.0,Echo 0,1,Clique A
390,47.005208333333336,0.0,Echo 0,1,Clique A
420,47.17548076923077,0.0,Echo 0,1,Clique A
450,47.24559294871795,0.0,Echo 0,1,Clique A
480,47.33573717948718,0.0,Echo 0,1,Clique A
510,47.47596153846154,0.0,Echo 0,1,Clique A
540,47.546073717948715,0.0,Echo 0,1,Clique A
570,47.66626602564103,0.0,Echo 0,1,Clique A
600,47.71634615384615,0.0,Echo 0,1,Clique A
630,47.74639423076923,0.0,Echo 0,1,Clique A
660,47.77644230769231,0.0,Echo 0,1,Clique A
690,47.83653846153846,0.0,Echo 0,1,Clique A
720,47.81650641025641,0.0,Echo 0,1,Clique A
750,47.86658653846154,0.0,Echo 0,1,Clique A
780,47.87660256410256,0.0,Echo 0,1,Clique A
810,47.88661858974359,0.0,Echo 0,1,Clique A
840,47.89663461538461,0.0,Echo 0,1,Clique A
870,47.87660256410256,0.0,Echo 0,1,Clique A
900,47.88661858974359,0.0,Echo 0,1,Clique A
930,47.88661858974359,0.0,Echo 0,1,Clique A
960,47.86658653846154,0.0,Echo 0,1,Clique A
990,47.85657051282051,0.0,Echo 0,1,Clique A
1020,47.82652243589744,0.0,Echo 0,1,Clique A
1050,47.756410256410255,0.0,Echo 0,1,Clique A
1080,47.756410256410255,0.0,Echo 0,1,Clique A
1110,47.6963141025641,0.0,Echo 0,1,Clique A
1140,47.68629807692308,0.0,Echo 0,1,Clique A
1170,47.66626602564103,0.0,Echo 0,1,Clique A
1200,47.64623397435897,0.0,Echo 0,1,Clique A
1230,47.59615384615385,0.0,Echo 0,1,Clique A
1260,47.60616987179487,0.0,Echo 0,1,Clique A
1290,47.60616987179487,0.0,Echo 0,1,Clique A
1320,47.58613782051282,0.0,Echo 0,1,Clique A
1350,47.6161858974359,0.0,Echo 0,1,Clique A
1380,47.68629807692308,0.0,Echo 0,1,Clique A
1410,47.70633012820513,0.0,Echo 0,1,Clique A
1440,47.786458333333336,0.0,Echo 0,1,Clique A
1470,47.92668269230769,0.0,Echo 0,1,Clique A
0,32.05128205128205,0.0,Echo 0,1,Clique B
30,35.71714743589744,0.0,Echo 0,1,Clique B
60,39.322916666666664,0.0,Echo 0,1,Clique B
90,42.25761217948718,0.0,Echo 0,1,Clique B
120,43.048878205128204,0.0,Echo 0,1,Clique B
150,43.71995192307692,0.0,Echo 0,1,Clique B
180,44.1005608974359,0.0,Echo 0,1,Clique B
210,44.32091346153846,0.0,Echo 0,1,Clique B
240,44.52123397435897,0.0,Echo 0,1,Clique B
270,44.631410256410255,0.0,Echo 0,1,Clique B
300,44.76161858974359,0.0,Echo 0,1,Clique B
