Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
660,45.73317307692308,0.0,StateOverride,1,Clique B
690,45.77323717948718,0.0,StateOverride,1,Clique B
720,45.783253205128204,0.0,StateOverride,1,Clique B
750,45.813301282051285,0.0,StateOverride,1,Clique B
780,45.82331730769231,0.0,StateOverride,1,Clique B
810,45.813301282051285,0.0,StateOverride,1,Clique B
840,45.833333333333336,0.0,StateOverride,1,Clique B
870,45.88341346153846,0.0,StateOverride,1,Clique B
900,45.90344551282051,0.0,StateOverride,1,Clique B
930,45.91346153846154,0.0,StateOverride,1,Clique B
960,45.95352564102564,0.0,StateOverride,1,Clique B
990,45.97355769230769,0.0,StateOverride,1,Clique B
1020,46.00360576923077,0.0,StateOverride,1,Clique B
1050,46.00360576923077,0.0,StateOverride,1,Clique B
1080,46.00360576923077,0.0,StateOverride,1,Clique B
1110,46.02363782051282,0.0,StateOverride,1,Clique B
1140,46.02363782051282,0.0,StateOverride,1,Clique B
1170,46.02363782051282,0.0,StateOverride,1,Clique B
1200,46.02363782051282,0.0,StateOverride,1,Clique B
1230,46.02363782051282,0.0,StateOverride,1,Clique B
1260,46.02363782051282,0.0,StateOverride,1,Clique B
1290,46.013621794871796,0.0,StateOverride,1,Clique B
1320,46.013621794871796,0.0,StateOverride,1,Clique B
1350,46.02363782051282,0.0,StateOverride,1,Clique B
1380,46.03365384615385,0.0,StateOverride,1,Clique B
1410,46.03365384615385,0.0,StateOverride,1,Clique B
1440,46.04366987179487,0.0,StateOverride,1,Clique B
1470,46.04366987179487,0.0,StateOverride,1,Clique B
0,32.61217948717949,0.0625,StateOverride,1,All
30,64.35296474358974,0.0625,StateOverride,1,All
60,72.93669871794872,0.0625,StateOverride,1,All
90,75.18028846153847,0.0625,StateOverride,1,All
120,76.35216346153847,0.0625,StateOverride,1,All
150,77.32371794871794,0.0625,StateOverride,1,All
180,77.84455128205128,0.0625,StateOverride,1,All
210,78.29527243589743,0.0625,StateOverride,1,All
240,78.64583333333333,0.0625,StateOverride,1,All
270,79.0264423076923,0.0625,StateOverride,1,All
300,79.42708333333333,0.0625,StateOverride,1,All
330,79.82772435897436,0.0625,StateOverride,1,All
360,80.29847756410257,0.0625,StateOverride,1,All
390,80.60897435897436,0.0625,StateOverride,1,All
420,80.8994391025641,0.0625,StateOverride,1,All
450,81.03966346153847,0.0625,StateOverride,1,All
480,81.18990384615384,0.0625,StateOverride,1,All
510,81.35016025641026,0.0625,StateOverride,1,All
540,81.44030448717949,0.0625,StateOverride,1,All
570,81.47035256410257,0.0625,StateOverride,1,All
600,81.51041666666667,0.0625,StateOverride,1,All
630,81.5604967948718,0.0625,StateOverride,1,All
660,81.57051282051282,0.0625,StateOverride,1,All
690,81.55048076923077,0.0625,StateOverride,1,All
720,81.45032051282051,0.0625,StateOverride,1,All
750,81.31009615384616,0.0625,StateOverride,1,All
780,81.17988782051282,0.0625,StateOverride,1,All
810,81.06971153846153,0.0625,StateOverride,1,All
840,80.9395032051282,0.0625,StateOverride,1,All
870,80.8193108974359,0.0625,StateOverride,1,All
900,80.7391826923077,0.0625,StateOverride,1,All
930,80.64903846153847,0.0625,StateOverride,1,All
960,80.48878205128206,0.0625,StateOverride,1,All
990,80.27844551282051,0.0625,StateOverride,1,All
1020,80.02804487179488,0.0625,StateOverride,1,All
1050,79.75761217948718,0.0625,StateOverride,1,All
1080,79.53725961538461,0.0625,StateOverride,1,All
1110,79.32692307692308,0.0625,StateOverride,1,All
1140,79.03645833333333,0.0625,StateOverride,1,All
1170,78.81610576923077,0.0625,StateOverride,1,All
1200,78.54567307692308,0.0625,StateOverride,1,All
1230,78.30528846153847,0.0625,StateOverride,1,All
1260,78.13501602564102,0.0625,StateOverride,1,All
1290,77.90464743589743,0.0625,StateOverride,1,All
1320,77.71434294871794,0.0625,StateOverride,1,All
1350,77.33373397435898,0.0625,StateOverride,1,All
1380,77.0332532051282,0.0625,StateOverride,1,All
1410,76.77283653846153,0.0625,StateOverride,1,All
1440,76.41225961538461,0.0625,StateOverride,1,All
1470,76.15184294871794,0.0625,StateOverride,1,All
0,38.62179487179487,0.0625,StateOverride,1,Clique A
30,39.26282051282051,0.0625,StateOverride,1,Clique A
60,39.99399038461539,0.0625,StateOverride,1,Clique A
90,44.37099358974359,0.0625,StateOverride,1,Clique A
120,47.86658653846154,0.0625,StateOverride,1,Clique A
150,50.25040064102564,0.0625,StateOverride,1,Clique A
180,51.89302884615385,0.0625,StateOverride,1,Clique A
210,53.13501602564103,0.0625,StateOverride,1,Clique A
240,54.016426282051285,0.0625,StateOverride,1,Clique A
270,54.83774038461539,0.0625,StateOverride,1,Clique A
300,55.65905448717949,0.0625,StateOverride,1,Clique A
330,56.19991987179487,0.0625,StateOverride,1,Clique A
360,56.62059294871795,0.0625,StateOverride,1,Clique A
390,57.06129807692308,0.0625,StateOverride,1,Clique A
420,57.28165064102564,0.0625,StateOverride,1,Clique A
450,57.48197115384615,0.0625,StateOverride,1,Clique A
480,57.65224358974359,0.0625,StateOverride,1,Clique A
510,57.83253205128205,0.0625,StateOverride,1,Clique A
540,57.93269230769231,0.0625,StateOverride,1,Clique A
570,57.97275641025641,0.0625,StateOverride,1,Clique A
600,57.942708333333336,0.0625,StateOverride,1,Clique A
630,57.892628205128204,0.0625,StateOverride,1,Clique A
660,57.7724358974359,0.0625,StateOverride,1,Clique A
690,57.66225961538461,0.0625,StateOverride,1,Clique A
720,57.65224358974359,0.0625,StateOverride,1,Clique A
750,57.60216346153846,0.0625,StateOverride,1,Clique A
780,57.502003205128204,0.0625,StateOverride,1,Clique A
810,57.44190705128205,0.0625,StateOverride,1,Clique A
840,57.28165064102564,0.0625,StateOverride,1,Clique A
870,57.09134615384615,0.0625,StateOverride,1,Clique A
900,56.9911858974359,0.0625,StateOverride,1,Clique A
930,56.770833333333336,0.0625,StateOverride,1,Clique A
960,56.6005608974359,0.0625,StateOverride,1,Clique A
990,56.48036858974359,0.0625,StateOverride,1,Clique A
1020,56.28004807692308,0.0625,StateOverride,1,Clique A
1050,56.15985576923077,0.0625,StateOverride,1,Clique A
1080,55.90945512820513,0.0625,StateOverride,1,Clique A
1110,55.64903846153846,0.0625,StateOverride,1,Clique A
1140,55.44871794871795,0.0625,StateOverride,1,Clique A
1170,55.10817307692308,0.0625,StateOverride,1,Clique A
1200,54.797676282051285,0.0625,StateOverride,1,Clique A
1230,54.49719551282051,0.0625,StateOverride,1,Clique A
1260,54.14663461538461,0.0625,StateOverride,1,Clique A
1290,53.776041666666664,0.0625,StateOverride,1,Clique A
1320,53.35536858974359,0.0625,StateOverride,1,Clique A
1350,52.994791666666664,0.0625,StateOverride,1,Clique A
1380,52.71434294871795,0.0625,StateOverride,1,Clique A
1410,52.29366987179487,0.0625,StateOverride,1,Clique A
1440,51.953125,0.0625,StateOverride,1,Clique A
1470,51.54246794871795,0.0625,StateOverride,1,Clique A
0,33.984375,0.0625,StateOverride,1,Clique B
30,35.61698717948718,0.0625,StateOverride,1,Clique B
60,39.70352564102564,0.0625,StateOverride,1,Clique B
90,41.907051282051285,0.0625,StateOverride,1,Clique B
120,44.76161858974359,0.0625,StateOverride,1,Clique B
150,47.23557692307692,0.0625,StateOverride,1,Clique B
180,48.83814102564103,0.0625,StateOverride,1,Clique B
210,49.82972756410256,0.0625,StateOverride,1,Clique B
240,50.490785256410255,0.0625,StateOverride,1,Clique B
270,51.03165064102564,0.0625,StateOverride,1,Clique B
300,51.302083333333336,0.0625,StateOverride,1,Clique B
330,51.462339743589745,0.0625,StateOverride,1,Clique B
360,51.662660256410255,0.0625,StateOverride,1,Clique B
390,51.86298076923077,0.0625,StateOverride,1,Clique B
420,51.97315705128205,0.0625,StateOverride,1,Clique B
450,52.11338141025641,0.0625,StateOverride,1,Clique B
480,52.19350961538461,0.0625,StateOverride,1,Clique B
510,52.35376602564103,0.0625,StateOverride,1,Clique B
540,52.35376602564103,0.0625,StateOverride,1,Clique B
570,52.40384615384615,0.0625,StateOverride,1,Clique B
600,52.3838141025641,0.0625,StateOverride,1,Clique B
630,52.33373397435897,0.0625,StateOverride,1,Clique B
660,52.27363782051282,0.0625,StateOverride,1,Clique B
690,52.263621794871796,0.0625,StateOverride,1,Clique B
720,52.16346153846154,0.0625,StateOverride,1,Clique B
750,52.10336538461539,0.0625,StateOverride,1,Clique B
780,52.083333333333336,0.0625,StateOverride,1,Clique B
810,52.033253205128204,0.0625,StateOverride,1,Clique B
840,51.852964743589745,0.0625,StateOverride,1,Clique B
870,51.70272435897436,0.0625,StateOverride,1,Clique B
900,51.5625,0.0625,StateOverride,1,Clique B
930,51.38221153846154,0.0625,StateOverride,1,Clique B
960,51.272035256410255,0.0625,StateOverride,1,Clique B
990,51.091746794871796,0.0625,StateOverride,1,Clique B
1020,50.861378205128204,0.0625,StateOverride,1,Clique B
1050,50.671073717948715,0.0625,StateOverride,1,Clique B
1080,50.390625,0.0625,StateOverride,1,Clique B
1110,50.15024038461539,0.0625,StateOverride,1,Clique B
1140,49.97996794871795,0.0625,StateOverride,1,Clique B
1170,49.77964743589744,0.0625,StateOverride,1,Clique B
1200,49.62940705128205,0.0625,StateOverride,1,Clique B
1230,49.44911858974359,0.0625,StateOverride,1,Clique B
1260,49.22876602564103,0.0625,StateOverride,1,Clique B
1290,49.01842948717949,0.0625,StateOverride,1,Clique B
1320,48.67788461538461,0.0625,StateOverride,1,Clique B
1350,48.42748397435897,0.0625,StateOverride,1,Clique B
1380,48.22716346153846,0.0625,StateOverride,1,Clique B
1410,48.10697115384615,0.0625,StateOverride,1,Clique B
1440,47.86658653846154,0.0625,StateOverride,1,Clique B
1470,47.526041666666664,0.0625,StateOverride,1,Clique B
0,32.3818108974359,0.125,StateOverride,1,All
30,62.66025641025641,0.125,StateOverride,1,All
60,72.08533653846153,0.125,StateOverride,1,All
90,74.46915064102564,0.125,StateOverride,1,All
120,75.79126602564102,0.125,StateOverride,1,All
150,76.41225961538461,0.125,StateOverride,1,All
180,76.93309294871794,0.125,StateOverride,1,All
210,77.23357371794872,0.125,StateOverride,1,All
240,77.36378205128206,0.125,StateOverride,1,All
270,77.4238782051282,0.125,StateOverride,1,All
300,77.41386217948718,0.125,StateOverride,1,All
330,77.3838141025641,0.125,StateOverride,1,All
360,77.39383012820512,0.125,StateOverride,1,All
390,77.21354166666667,0.125,StateOverride,1,All
420,77.01322115384616,0.125,StateOverride,1,All
450,76.70272435897436,0.125,StateOverride,1,All
480,76.39222756410257,0.125,StateOverride,1,All
510,76.10176282051282,0.125,StateOverride,1,All
540,75.59094551282051,0.125,StateOverride,1,All
570,75.02003205128206,0.125,StateOverride,1,All
600,74.2988782051282,0.125,StateOverride,1,All
630,73.48758012820512,0.125,StateOverride,1,All
660,72.56610576923077,0.125,StateOverride,1,All
690,71.54447115384616,0.125,StateOverride,1,All
720,70.30248397435898,0.125,StateOverride,1,All
750,68.8701923076923,0.125,StateOverride,1,All
780,67.33774038461539,0.125,StateOverride,1,All
810,65.79527243589743,0.125,StateOverride,1,All
840,64.3329326923077,0.125,StateOverride,1,All
870,63.10096153846154,0.125,StateOverride,1,All
900,62.04927884615385,0.125,StateOverride,1,All
930,61.037660256410255,0.125,StateOverride,1,All
960,60.286458333333336,0.125,StateOverride,1,All
990,59.64543269230769,0.125,StateOverride,1,All
1020,59.16466346153846,0.125,StateOverride,1,All
1050,58.68389423076923,0.125,StateOverride,1,All
1080,58.37339743589744,0.125,StateOverride,1,All
1110,58.15304487179487,0.125,StateOverride,1,All
1140,58.00280448717949,0.125,StateOverride,1,All
1170,57.892628205128204,0.125,StateOverride,1,All
1200,57.78245192307692,0.125,StateOverride,1,All
1230,57.65224358974359,0.125,StateOverride,1,All
