Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
330,91.76682692307692,SCClip,StateOverride,global,False
360,91.25600961538461,SCClip,StateOverride,global,False
390,91.40625,SCClip,StateOverride,global,False
420,91.1358173076923,SCClip,StateOverride,global,False
450,91.8770032051282,SCClip,StateOverride,global,False
480,91.59655448717949,SCClip,StateOverride,global,False
510,91.47636217948718,SCClip,StateOverride,global,False
540,91.35616987179488,SCClip,StateOverride,global,False
570,90.71514423076923,SCClip,StateOverride,global,False
600,90.76522435897436,SCClip,StateOverride,global,False
630,90.75520833333333,SCClip,StateOverride,global,False
660,91.11578525641026,SCClip,StateOverride,global,False
690,91.64663461538461,SCClip,StateOverride,global,False
720,91.26602564102564,SCClip,StateOverride,global,False
750,90.82532051282051,SCClip,StateOverride,global,False
780,91.37620192307692,SCClip,StateOverride,global,False
810,90.80528846153847,SCClip,StateOverride,global,False
840,90.78525641025641,SCClip,StateOverride,global,False
870,90.73517628205128,SCClip,StateOverride,global,False
0,81.26001602564102,SCClip,StateOverride,global,True
30,89.19270833333333,SCClip,StateOverride,global,True
60,90.42467948717949,SCClip,StateOverride,global,True
90,90.69511217948718,SCClip,StateOverride,global,True
120,90.30448717948718,SCClip,StateOverride,global,True
150,91.15584935897436,SCClip,StateOverride,global,True
180,91.29607371794872,SCClip,StateOverride,global,True
210,91.22596153846153,SCClip,StateOverride,global,True
240,91.43629807692308,SCClip,StateOverride,global,True
270,91.42628205128206,SCClip,StateOverride,global,True
300,91.29607371794872,SCClip,StateOverride,global,True
330,91.42628205128206,SCClip,StateOverride,global,True
360,91.63661858974359,SCClip,StateOverride,global,True
390,91.7167467948718,SCClip,StateOverride,global,True
420,91.33613782051282,SCClip,StateOverride,global,True
450,90.94551282051282,SCClip,StateOverride,global,True
480,91.30608974358974,SCClip,StateOverride,global,True
510,91.73677884615384,SCClip,StateOverride,global,True
540,90.88541666666667,SCClip,StateOverride,global,True
570,91.11578525641026,SCClip,StateOverride,global,True
600,91.07572115384616,SCClip,StateOverride,global,True
630,90.5849358974359,SCClip,StateOverride,global,True
660,91.46634615384616,SCClip,StateOverride,global,True
690,90.96554487179488,SCClip,StateOverride,global,True
720,91.015625,SCClip,StateOverride,global,True
750,91.3261217948718,SCClip,StateOverride,global,True
780,91.45633012820512,SCClip,StateOverride,global,True
810,90.57491987179488,SCClip,StateOverride,global,True
840,90.8954326923077,SCClip,StateOverride,global,True
870,91.0556891025641,SCClip,StateOverride,global,True
0,9.805689102564102,GM,SandTrap,global,False
30,9.805689102564102,GM,SandTrap,global,False
60,9.805689102564102,GM,SandTrap,global,False
90,9.805689102564102,GM,SandTrap,global,False
120,9.805689102564102,GM,SandTrap,global,False
150,9.805689102564102,GM,SandTrap,global,False
180,9.805689102564102,GM,SandTrap,global,False
210,9.805689102564102,GM,SandTrap,global,False
240,9.805689102564102,GM,SandTrap,global,False
270,9.805689102564102,GM,SandTrap,global,False
300,9.805689102564102,GM,SandTrap,global,False
330,9.805689102564102,GM,SandTrap,global,False
360,9.805689102564102,GM,SandTrap,global,False
390,9.805689102564102,GM,SandTrap,global,False
420,9.805689102564102,GM,SandTrap,global,False
450,9.805689102564102,GM,SandTrap,global,False
480,9.805689102564102,GM,SandTrap,global,False
510,9.805689102564102,GM,SandTrap,global,False
540,9.805689102564102,GM,SandTrap,global,False
570,9.805689102564102,GM,SandTrap,global,False
600,9.805689102564102,GM,SandTrap,global,False
630,9.805689102564102,GM,SandTrap,global,False
