Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
450,9.805689102564102,TM,SandTrap,global,True
480,9.805689102564102,TM,SandTrap,global,True
510,9.805689102564102,TM,SandTrap,global,True
540,9.805689102564102,TM,SandTrap,global,True
570,9.805689102564102,TM,SandTrap,global,True
600,9.805689102564102,TM,SandTrap,global,True
630,9.805689102564102,TM,SandTrap,global,True
660,9.805689102564102,TM,SandTrap,global,True
690,9.805689102564102,TM,SandTrap,global,True
720,9.805689102564102,TM,SandTrap,global,True
750,9.805689102564102,TM,SandTrap,global,True
780,9.805689102564102,TM,SandTrap,global,True
810,9.805689102564102,TM,SandTrap,global,True
840,9.805689102564102,TM,SandTrap,global,True
870,9.805689102564102,TM,SandTrap,global,True
0,9.805689102564102,TM,Echo,global,False
30,9.805689102564102,TM,Echo,global,False
60,9.805689102564102,TM,Echo,global,False
90,9.805689102564102,TM,Echo,global,False
120,9.805689102564102,TM,Echo,global,False
150,9.805689102564102,TM,Echo,global,False
180,9.805689102564102,TM,Echo,global,False
210,9.805689102564102,TM,Echo,global,False
240,9.805689102564102,TM,Echo,global,False
270,9.805689102564102,TM,Echo,global,False
300,9.805689102564102,TM,Echo,global,False
330,9.805689102564102,TM,Echo,global,False
360,9.805689102564102,TM,Echo,global,False
390,9.805689102564102,TM,Echo,global,False
420,9.805689102564102,TM,Echo,global,False
450,9.805689102564102,TM,Echo,global,False
480,9.805689102564102,TM,Echo,global,False
510,9.805689102564102,TM,Echo,global,False
540,9.805689102564102,TM,Echo,global,False
570,9.805689102564102,TM,Echo,global,False
600,9.805689102564102,TM,Echo,global,False
630,9.805689102564102,TM,Echo,global,False
660,9.805689102564102,TM,Echo,global,False
690,9.805689102564102,TM,Echo,global,False
720,9.805689102564102,TM,Echo,global,False
750,9.805689102564102,TM,Echo,global,False
780,9.805689102564102,TM,Echo,global,False
810,9.805689102564102,TM,Echo,global,False
840,9.805689102564102,TM,Echo,global,False
870,9.805689102564102,TM,Echo,global,False
0,78.66586538461539,TM,Echo,global,True
30,91.34615384615384,TM,Echo,global,True
60,92.73838141025641,TM,Echo,global,True
90,92.71834935897436,TM,Echo,global,True
120,91.43629807692308,TM,Echo,global,True
150,88.60176282051282,TM,Echo,global,True
180,9.805689102564102,TM,Echo,global,True
210,9.805689102564102,TM,Echo,global,True
240,9.805689102564102,TM,Echo,global,True
270,9.805689102564102,TM,Echo,global,True
300,9.805689102564102,TM,Echo,global,True
330,9.805689102564102,TM,Echo,global,True
360,9.805689102564102,TM,Echo,global,True
390,9.805689102564102,TM,Echo,global,True
420,9.805689102564102,TM,Echo,global,True
450,9.805689102564102,TM,Echo,global,True
480,9.805689102564102,TM,Echo,global,True
510,9.805689102564102,TM,Echo,global,True
540,9.805689102564102,TM,Echo,global,True
570,9.805689102564102,TM,Echo,global,True
600,9.805689102564102,TM,Echo,global,True
630,9.805689102564102,TM,Echo,global,True
660,9.805689102564102,TM,Echo,global,True
690,9.805689102564102,TM,Echo,global,True
720,9.805689102564102,TM,Echo,global,True
750,9.805689102564102,TM,Echo,global,True
780,9.805689102564102,TM,Echo,global,True
810,9.805689102564102,TM,Echo,global,True
840,9.805689102564102,TM,Echo,global,True
870,9.805689102564102,TM,Echo,global,True
0,9.805689102564102,TM,StateOverride,global,False
30,9.805689102564102,TM,StateOverride,global,False
60,9.805689102564102,TM,StateOverride,global,False
90,9.805689102564102,TM,StateOverride,global,False
120,9.805689102564102,TM,StateOverride,global,False
150,9.805689102564102,TM,StateOverride,global,False
180,9.805689102564102,TM,StateOverride,global,False
210,9.805689102564102,TM,StateOverride,global,False
240,9.805689102564102,TM,StateOverride,global,False
270,9.805689102564102,TM,StateOverride,global,False
300,9.805689102564102,TM,StateOverride,global,False
330,9.805689102564102,TM,StateOverride,global,False
360,9.805689102564102,TM,StateOverride,global,False
390,9.805689102564102,TM,StateOverride,global,False
420,9.805689102564102,TM,StateOverride,global,False
450,9.805689102564102,TM,StateOverride,global,False
480,9.805689102564102,TM,StateOverride,global,False
510,9.805689102564102,TM,StateOverride,global,False
540,9.805689102564102,TM,StateOverride,global,False
570,9.805689102564102,TM,StateOverride,global,False
600,9.805689102564102,TM,StateOverride,global,False
630,9.805689102564102,TM,StateOverride,global,False
660,9.805689102564102,TM,StateOverride,global,False
690,9.805689102564102,TM,StateOverride,global,False
720,9.805689102564102,TM,StateOverride,global,False
750,9.805689102564102,TM,StateOverride,global,False
780,9.805689102564102,TM,StateOverride,global,False
810,9.805689102564102,TM,StateOverride,global,False
840,9.805689102564102,TM,StateOverride,global,False
870,9.805689102564102,TM,StateOverride,global,False
0,80.68910256410257,TM,StateOverride,global,True
30,88.58173076923077,TM,StateOverride,global,True
60,88.26121794871794,TM,StateOverride,global,True
90,87.36979166666667,TM,StateOverride,global,True
120,83.40344551282051,TM,StateOverride,global,True
150,87.87059294871794,TM,StateOverride,global,True
180,87.1494391025641,TM,StateOverride,global,True
210,88.61177884615384,TM,StateOverride,global,True
240,88.80208333333333,TM,StateOverride,global,True
270,89.40304487179488,TM,StateOverride,global,True
300,88.7920673076923,TM,StateOverride,global,True
330,89.1025641025641,TM,StateOverride,global,True
360,89.74358974358974,TM,StateOverride,global,True
390,90.7051282051282,TM,StateOverride,global,True
420,89.65344551282051,TM,StateOverride,global,True
450,89.19270833333333,TM,StateOverride,global,True
480,89.93389423076923,TM,StateOverride,global,True
510,90.5048076923077,TM,StateOverride,global,True
540,90.17427884615384,TM,StateOverride,global,True
570,90.1943108974359,TM,StateOverride,global,True
600,90.85536858974359,TM,StateOverride,global,True
630,90.234375,TM,StateOverride,global,True
660,89.90384615384616,TM,StateOverride,global,True
690,90.24439102564102,TM,StateOverride,global,True
720,91.27604166666667,TM,StateOverride,global,True
750,90.96554487179488,TM,StateOverride,global,True
780,90.13421474358974,TM,StateOverride,global,True
810,90.34455128205128,TM,StateOverride,global,True
840,90.00400641025641,TM,StateOverride,global,True
870,91.18589743589743,TM,StateOverride,global,True
